YEAR,REGION,QUARTER,TOTAL
2015,ASIA,1,5864167
2015,AMERICAS,1,99798
2015,OCEANIA,1,136251
2015,EUROPE,1,349019
2015,AFRICA,1,31864
2015,OTHERS,1,1597
2016,ASIA,1,6102757
2016,AMERICAS,1,93361
2016,OCEANIA,1,111114
2016,EUROPE,1,326864
2016,AFRICA,1,30625
2016,OTHERS,1,1259
2017,ASIA,1,6117986
2017,AMERICAS,1,83559
2017,OCEANIA,1,101833
2017,EUROPE,1,303778
2017,AFRICA,1,24313
2017,OTHERS,1,200
2018,ASIA,1,5936223
2018,AMERICAS,1,107344
2018,OCEANIA,1,102639
2018,EUROPE,1,336460
2018,AFRICA,1,36818
2018,OTHERS,1,734
2019,ASIA,1,6121036
2019,AMERICAS,1,108651
2019,OCEANIA,1,102336
2019,EUROPE,1,327994
2019,AFRICA,1,35644
2019,OTHERS,1,569
2020,ASIA,1,3790852
2020,AMERICAS,1,75778
2020,OCEANIA,1,81737
2020,EUROPE,1,256716
2020,AFRICA,1,27856
2020,OTHERS,1,516
2015,ASIA,2,5585678
2015,AMERICAS,2,86824
2015,OCEANIA,2,124982
2015,EUROPE,2,259023
2015,AFRICA,2,27106
2015,OTHERS,2,991
2016,ASIA,2,5955759
2016,AMERICAS,2,76293
2016,OCEANIA,2,94717
2016,EUROPE,2,220629
2016,AFRICA,2,18827
2016,OTHERS,2,570
2017,ASIA,2,5891957
2017,AMERICAS,2,73741
2017,OCEANIA,2,94612
2017,EUROPE,2,237954
2017,AFRICA,2,20837
2017,OTHERS,2,296
2018,ASIA,2,5743345
2018,AMERICAS,2,94584
2018,OCEANIA,2,91570
2018,EUROPE,2,249560
2018,AFRICA,2,30537
2018,OTHERS,2,554
2019,ASIA,2,6157867
2019,AMERICAS,2,100361
2019,OCEANIA,2,102955
2019,EUROPE,2,262835
2019,AFRICA,2,33827
2019,OTHERS,2,500
2020,ASIA,2,18963
2020,AMERICAS,2,106
2020,OCEANIA,2,72
2020,EUROPE,2,354
2020,AFRICA,2,44
2020,OTHERS,2,3
2015,ASIA,3,5891517
2015,AMERICAS,3,86849
2015,OCEANIA,3,151543
2015,EUROPE,3,316694
2015,AFRICA,3,35056
2015,OTHERS,3,1265
2016,ASIA,3,6173658
2016,AMERICAS,3,76115
2016,OCEANIA,3,112996
2016,EUROPE,3,303258
2016,AFRICA,3,30251
2016,OTHERS,3,877
2017,ASIA,3,5968011
2017,AMERICAS,3,75191
2017,OCEANIA,3,105614
2017,EUROPE,3,307086
2017,AFRICA,3,28468
2017,OTHERS,3,499
2018,ASIA,3,6079264
2018,AMERICAS,3,93970
2018,OCEANIA,3,105806
2018,EUROPE,3,329832
2018,AFRICA,3,46141
2018,OTHERS,3,734
2019,ASIA,3,6151130
2019,AMERICAS,3,102033
2019,OCEANIA,3,108929
2019,EUROPE,3,338994
2019,AFRICA,3,52809
2019,OTHERS,3,733
2020,ASIA,3,42784
2020,AMERICAS,3,496
2020,OCEANIA,3,417
2020,EUROPE,3,2248
2020,AFRICA,3,456
2020,OTHERS,3,21
2015,ASIA,4,6118251
2015,AMERICAS,4,86659
2015,OCEANIA,4,138927
2015,EUROPE,4,291817
2015,AFRICA,4,33956
2015,OTHERS,4,1417
2016,ASIA,4,6542000
2016,AMERICAS,4,76565
2016,OCEANIA,4,116406
2016,EUROPE,4,261148
2016,AFRICA,4,30240
2016,OTHERS,4,1103
2017,ASIA,4,6053908
2017,AMERICAS,4,76076
2017,OCEANIA,4,109611
2017,EUROPE,4,243975
2017,AFRICA,4,28577
2017,OTHERS,4,377
2018,ASIA,4,5942255
2018,AMERICAS,4,93899
2018,OCEANIA,4,108422
2018,EUROPE,4,262096
2018,AFRICA,4,38895
2018,OTHERS,4,672
2019,ASIA,4,5491424
2019,AMERICAS,4,95677
2019,OCEANIA,4,111277
2019,EUROPE,4,251481
2019,AFRICA,4,41061
2019,OTHERS,4,661
2020,ASIA,4,31126
2020,AMERICAS,4,333
2020,OCEANIA,4,375
2020,EUROPE,4,1105
2020,AFRICA,4,343
2020,OTHERS,4,21
